asin,Title,MainImage,Rating,NumberOfReviews,Items,MoreInfo,unit,category
B0B3S39DPR,"Zest Delites Gourmet Vegan Food Gift Box - Turkish Delight Candy Box, Fruit Ingredients; Orange, Vanilla, Pomegranate, Black Mulberry and Pistachio Nuts, Birthday Gift for Her & Him, Soft Candy Snack Box, Get Well - Festive Season Gift, Handmade in Copper (Bakirkazan) 8.82 oz, Glucose Free Lokum",https://m.media-amazon.com/images/I/41XmVyzyFiL.jpg,4.9,63 ratings," Handmade Artisanal Delights with twice as much Pistachio: Our Turkish Delights candy contain twice as much pistachio nuts than regular Turkish Delights. Zest delights contain %30 local premium Turkish pistachio. Our universal taste is not too sweet, our texture is not too chewy and loved by children to adults.  , Healthy Gift Option; Natural, Vegan, Gluten-Free, Dairy-Free, Non GMO: Made with organic beet sugar. Zest Turkish candy is vegan and does not contain gluten, dairy, glucose, or fructose. It makes an ideal vegan dessert or gift candy.  , Premium Quality Candy Gifts with Naturally sourced ingredients: Each box contains one of a kind assorted Turkish Delight. Our flavors are orange, pomegranate, vanilla and black mulberry. Every flavor rewards you with its unique taste.  , Made with Traditional Methods, using Copper Cauldrons (Bakirkazan): Real copper cauldrons prevent the burning of sugar, so it’s cooked evenly. Zest delights don’t cause burning effect in the throat. We combine contemporary ingredients with traditional techniques, making our delight by hand, in batches, using a copper boiler to create a unique set of flavors.  , Unique Gift Box makes the Perfect Gift Idea: Every day is a day to celebrate. Gift a box of this premium Turkish delight to coworkers or share them with friends and family. Ideal Birthday gift basket, Halloween gift, Thanksgiving gift, Christmas gifts, Valentine’s Day gifts, Holiday gifts, Mother’s Day gifts, Father’s Day gifts, St Patrick’s day gifts, Women’s Day gifts, Easter Gifts, Get well soon gifts, Ramadan Gifts, Hanukkah Gifts, Sympathy Gift Baskets women.  , Packed for Freshness: Our gourmet candy is freshly produced and tightly sealed so you are the first one to open this soft candy box. We don’t use any preservatives in our candy gift basket. Handmade therefore weights can differ by -/+ 5 gram.  , Send As A Gift: Check the box labeled 'This is a gift' in your cart or at checkout and write a message to your loved ones.  ","Brand: ZEST Delites,Item Form: Turkish Delight,Package Information: Box,Flavor: Orange, Vanilla, Pomegranate, Black Mulberry,Weight: 250 Grams"," Size: , 8.82 Ounce (Pack of 1) ","
                Grocery & Gourmet Food
            ,
                Snacks & Sweets
            ,
                Candy & Chocolate
            ,
                 Candy & Chocolate Gifts
             "
B009LHPJ1S,"Wine Country Gift Baskets Gourmet Feast Perfect For Family, Friends, Co-Workers, Loved Ones and Clients",https://m.media-amazon.com/images/I/51tJChaWlzL.jpg,4.5,754 ratings," GOURMET GIFTING AT ITS FINEST: This traditional gift basket combines old favorites and new surprises to create this large collection  , THE PERFECT GIFT BASKET FOR ANY OCCASION: Perfect as an anniversary basket for couples, a congratulations gift basket, college care package, or a corporate gift basket. Ideal and unique gift as a housewarming gift basket or for a retirement gift, This selection/tower of treats can be adapted to nearly every need: birthday gifts, get well soon gifts, and more  , WE GUARANTEE YOU AND YOUR RECIPIENTS SATISFACTION: Wine Country Gift Baskets pours its heart into every basket, Hand assembled in the USA we give every gift our utmost care and attention  , OVER 30 YEARS OF SENDING GIFT BASKETS: Making memories by giving a Wine Country Gift Baskets gift is an easy thing, We've been manufacturing and selling value-priced, quality food and wine gift baskets to consumers and businesses for over 30 years  , PRIME PRESENTATION: We have taken gift-giving to a complete new level, Each detail in the package is designed to make your gift-giving even more thrilling and extra delicious, Our beautiful presentation will make this gift a memorable one, Make Wine Country Gift Baskets your destination for special and unique gourmet gifts online that are sure to delight  ","Brand: Wine Country Gift Baskets,Age Range (Description): 24 Months and Above,Weight: 0.04 Pounds,Size: Gift Size 15"" x 8"" x 14"",Allergen Information: Nut",,"
                Grocery & Gourmet Food
            ,
                Food & Beverage Gifts
            ,
                 Snack Gifts
             "
B004D9XYWU,"Chocolate Caramel and Crunch Grand Gift Basket for Christmas, Birthday, Snack, Business, Office and Family",https://m.media-amazon.com/images/I/515H6eRSagL.jpg,4.6,"11,285 ratings"," Give the gift of best-selling deliciousness or treat yourself to two of our prized house-made gooey caramel corns: butter and dark-chocolate drizzled, Ghirardelli dark chocolate and caramel-filled squares with along with 2 flavors of crunchy confection mini pretzels, our house-made milk chocolate almond bark, fresh chocolate covered cashews and crunchy melt-in-your mouth peanut brittle packed into high quality, keepsake seagrass basket for the ultiimate in chocolatey, nutty and crunchy snack gifting.  , Hot weather notice: While we ship with ice packs during hot weather, prolonged exposure to heat or sunlight may lead to melting/damage of product. We recommend alerting gift recipients to gift arrival to ensure their availability to receive the package and minimize head exposure.  , Handmade chocolates, handmade caramel corn. We pop fresh popcorn, melt real Challenge butter and caramel, and drench it in the rich, thick goodness. The melters are full of real chocolates, pouring out pans of chocolate barks, pressing whole almonds into the warm, thick Slabs. Nothing but the best will do for our our customers giving to their favorite people.  , A gift large enough for the whole office and entire family. Added to the caramel corns and Ghirardelli's finest are heaping handfuls of chocolate-covered sea salt Cashews, chocolate-covered pretzels, caramel drizzled pretzels, peanut brittle, and scrumptious handmade chocolate Almond bark.  , Ghirardelli Chocolate squares: a half-dozen assorted dark and caramel real chocolate squares from the famous San Francisco chocolatier. Renowned chocolates everyone on your list will recognize  , Sending as a gift. See alternate image for Instruction on how to include A GIFT MESSAGE. Be sure to sign your name and/or your company, so your recipient KNOWS who to thank  , Allergen Information: wheat  ","Brand: A Gift Inside,Item Form: Bar,Flavor: All Occasions Basket,Size: 2.5 Pound (Pack of 1),Weight: 2.5 Pounds",,"
                Grocery & Gourmet Food
            ,
                Snacks & Sweets
            ,
                Chocolate
            ,
                 Candy & Chocolate Assortments
             "
B00FY43IJ2,"California Delicious Gourmet Cheeseboard Gift, 8 piece set",https://m.media-amazon.com/images/I/51dIwikQcAL.jpg,4.2,"1,958 ratings"," A keepsake cutting board comes loaded with Hors d'oeuvres, including cheese & crackers, savory sausage, and sweet chocolates  , A perfect gift for a birthday, Holiday, or housewarming  , A fantastic spread of meat, cheese, and sweets- along with a cheese knife and cutting board they can keep!  , This gourmet meat and cheese assortment is a delectable gift loaded with savory delights  ","Brand: California Delicious,Flavor: Sweet,Cheese,Weight: 0.02 Pounds,Size: 8 Piece Set,Number of Pieces: 8",,"
                Grocery & Gourmet Food
            ,
                Food & Beverage Gifts
            ,
                 Snack Gifts
             "
B00005HFGK,The Best Wishes Happy Birthday Gift Tower by Wine Country Gift Baskets,https://m.media-amazon.com/images/I/51n87oyILWL.jpg,4.7,10 ratings," SEND THEM THIS UNIQUE TOWER ON THEIR SPECIAL DAY: This large birthday tower is loaded with festive and delicious surprises  , BOX AFTER BOX OF SWEET SURPRISES: It is sure to satisfy your recipient's sweet tooth  , PERSONALIZED GIFT MESSAGES: When ordering select as a gift and your sentiment can be sent for free with a personalized gift message  , PRIME PRESENTATION: We have taken gift-giving to a complete new level. Each detail in the package is designed to make your gift-giving even more memorable and extra delicious. Our beautiful presentation will make this gift a memorable one  , 30+ YEARS SENDING GIFT BASKETS: Make Wine Country Gift Baskets your destination for unique gourmet gifts online that are sure to delight with unique gifts, you'll find beautiful gourmet food baskets and gift towers for every taste  ",,,"
                Grocery & Gourmet Food
            ,
                Snacks & Sweets
            ,
                Candy & Chocolate
            ,
                 Candy & Chocolate Gifts
             "
B07K38QBKQ,"Chocolate Gift Basket, Food Gifts Arrangement Platter, Gourmet Snack Box, Birthday Present Idea, Corporate Him & Her, Men Women Sympathy Family Parties & Get Well - Bonnie & Pop",https://m.media-amazon.com/images/I/518dmCAa2jL.jpg,4.6,"9,078 ratings"," 🍫 AN INDULGENT SELECTION OF OUR 15 BEST SELLING CHOCOLATES: Gift baskets arrive with more than a pound of assorted milk, dark and white truffles. Flavors include: Milk Butter Pecan Patties, Cashew Clusters, Pretzel Clouds, Pecan Snappers, Sea Salt Caramels, English Toffee, Peppermint Patties, Bavarian Pretzels, Double Silk Truffles, Coconut Haystacks, and Peanut Clusters.  , ✨ CELEBRATE HOLIDAY JOY with this elegant yet affordable gift. This little treasure has delighted recipients ranging from employees and employers to parents and children. Who doesn’t love a delicious box of chocolate? It’s versatile packaging works for multiple occasions like Christmas, Hanukkah, Valentine’s Day, Easter, Birthdays, Sympathy or to simply say Thank you.  , 🎁 WRAPPED AND LABELED Each chocolate is individually wrapped to promote comfortable sharing and a fresh experience, even if you (try to) save some for later. Kosher Dairy  , ⭐️ ELEGANT GIFTING Our Bonine and Pop embellished tin makes this an elegant gift that will be a keepsake long after the occasion and snacks are gone.  , ⚠️ ATTENTION: Please remember to Check the box labeled 'This is a gift' in your cart or at checkout and write a personalized message.  ","Brand: BONNIE AND POP,Item Form: Toffees, Pretzels, Caramels,Occasion: Valentines Day,Chocolate Type: Milk,Flavor: Chocolate"," Style: , Chocolate Gift ","
                Grocery & Gourmet Food
            ,
                Snacks & Sweets
            ,
                Candy & Chocolate
            ,
                 Candy & Chocolate Gifts
             "
B01EAG3VZA,"Frito-Lay Ultimate Snack Care Package, Variety Assortment of Chips, Cookies, Crackers & More, 40 Count",https://m.media-amazon.com/images/I/61T6vf3V+jL.jpg,4.6,"90,657 ratings"," 40 count of your favorite Frito-Lay snacks perfect for any snacking occasion and great as a care package for a loved one.  , Delight the taste buds of friends, family and co-workers with 40 of their favorite Frito lay snacks  , The ultimate snack care package provides a variety of salty and sweet flavors, cookies, crackers, chips, popcorn, nuts and pretzels  , Conveniently wrapped in individual servings so that you can eat it on the go or share with friends and family  , Perfect as a care package for college bound students, military personnel, kids away at camp, office co-workers and much more  ","Brand: Frito-Lay,Flavor: Ultimate Snack Care Package,Weight: 54.26 Ounces,Allergen Information: Crab Free,Item Dimensions LxWxH: 8.1 x 13.4 x 15.9 inches",,"
                Grocery & Gourmet Food
            ,
                Food & Beverage Gifts
            ,
                 Snack Gifts
             "
B09DFY6134,"Bonds of London English Sweets Candy Gift Box from The Bundle Hut - 8 Bags of British Candy in British Themed Snack Selection Box - Includes Sherbet Lemons. Pear Drops & More, 5.3 Ounce",https://m.media-amazon.com/images/I/51cI7Nv7X+L.jpg,4.9,36 ratings," A TASTE OF BRITAIN - Whether you're a British ex-pat with a craving for your childhood sweets, a lover of all things British, want a luxurious present to gift or just want to try something new, the Bonds of London candy box is sure to satisfy.  , SWEETSHOP FAVOURITES: Imported from the UK, the assortment of this Best of British Bonds boiled sweets, fruit chews and fruit jellies will transport you back to your favourite English sweetshops.  , INCLUDES: Sherbet Lemons, Rhubarb & Custard, Pear Drops, Blackcurrant & Liquorice, Fruit Jellies, Mint Humbugs, Chocolate Limes & Fruit Chews  , SHIPPED FROM THE US: The Bundle Hut boxes ship to you from within the US using Prime delivery so you can receive your box in just a few days, perfect for when you need a gift in a hurry.  , HEAT PROTECTIVE & DISCREET PACKAGING: The gift box is packed inside a thermal bubble pouch before it even leaves England, which protects the contents from heat & damage throughout its journey and ensures nobody knows what's inside when you receive it.  ","Brand: The Bundle Hut,Flavor: Fruit, Mint, Chocolate,Item Form: Chews,Unit Count: 1.00 Count,Style: Gift Box",,"
                Grocery & Gourmet Food
            ,
                Snacks & Sweets
            ,
                Candy & Chocolate
            ,
                 Candy & Chocolate Gifts
             "
B08CVMNM5H,Harry & David Sweet and Salty Gift Box,https://m.media-amazon.com/images/I/51M1UNfOV4L.jpg,4.4,145 ratings," This gift box includes: Moose Munch Premium Popcorn - classic caramel (6 oz), mixed nuts [cashews, almonds, walnuts, pecans] (4 oz), and super party snack mix (12 oz).  , Raspberry galettes (5.25 oz), 3 white chocolate raspberry cookie bars (1.5 oz each), and fruit salad gummies (6 oz).  , Net Weight: 2 lb 2 oz  , Harry and David gift baskets make the perfect gift for Holiday's, birthdays or any occasion!  , America's first choice for fruit and food gifts since 1934, Harry & David is committed to providing premium quality and excellence in every way.  ",,,"
                Grocery & Gourmet Food
            ,
                Food & Beverage Gifts
            ,
                 Snack Gifts
             "
B00Q35WR4I,"Dulcet Gift Basket Deluxe Gourmet Food Gift Basket: Prime Delivery for Holiday Men and Women: Includes Assorted Brownies, Crumb Cakes Rugelah, and Muffins. Great gift idea!",https://m.media-amazon.com/images/I/51Ic8MBaY+L.jpg,4.6,"1,351 ratings"," ASSORTED DELECTABLES: Dulcet Deluxe Package includes: 4 Assorted Brownies-Flavors include: Chocolate Cheese, Chocolate Fudge, Chocolate Chip Blondie and/or Walnut, 1 Chocolate Crumb Cake, 1 Raspberry Crumb Cake, 1 Old Fashioned Crumb Cake, 1/2 Lb. Assorted Rugelah- Flavors include: Chocolate Chip, Cinnamon Sugar, Raspberry and/or Apricot, and 2 3oz Blueberry Muffins.  , DAZZLE EM WITH DULCE DELUXE PACKAGE: Dazzle your recipient with our premium deluxe package! It's brimming with an abundance of mouthwatering savories, accented with a magnificent hand-tied burgundy bow and wrapped to perfection– go ahead, surprise your loved one like never before!  , THINK GIFTS, THINK US! Top gift idea for all occasions! Anniversary gifts, Mother's day gifts, baby showers, sympathy, birthday, gifts for mom, dad, gifts for men, and gifts for women–you name it! For whoever it may be – you can be assured Dulcet Gift baskets will delight just everyone!  , GUARANTEED FRESHNESS: Our goal is to bring you the very best in quality and design. Each Dulcet pastry is individually wrapped and shipped within 1-2 days to ensure the utmost freshness. All of our amazing pastries are Kosher- OU D Certified. We have the right to change Products and Flavors upon availability for equal valued products.  , SATISFACTION GUARANTEED: We love our gift basket so much, and we're sure you will feel the same. If, for any reason, you or your recipient aren't fully satisfied with our products, we'll be there for you! What are you waiting for? Buy us with confidence!  ","Brand: Dulcet Gift Baskets,Flavor: Assorted,Weight: 4 Pounds,Size: 8 Piece Set",,"
                Grocery & Gourmet Food
            ,
                Food & Beverage Gifts
            ,
                 Bakery & Dessert Gifts
             "
B07CJLPR4P,"Funky Chunky Gourmet Popcorn Sampler Variety Pack with all 5 flavors: Sea Salt Caramel, Nutty Choco Pop, Peanut Butter Cup, Chip Zel Pop, and Chocolate Pretzel, 2 oz (5 Bags)",https://m.media-amazon.com/images/I/41vviwnqT4L.jpg,4.3,"1,353 ratings"," INCLUDES 5 FLAVORS: (1) SEA SALT CARAMEL starts with gooey caramel, the perfect amount of sea salt, roasted cashews and a drizzle of milk and dark chocolatey goodness. (1) PEANUT BUTTER CUP popcorn is the fan fav. Tiny chocolate peanut butter cups are mixed with caramel popcorn and drizzled in caramel plus white, milk and dark chocolate. (1) NUTTY CHOCO POP is a sweet mix of white, milk and dark chocolate drizzled on caramel with almonds and cashews  , (1) CHOCOLATE PRETZEL is just that: white, milk and dark chocolatey goodness drizzled on traditional twisted pretzels with a few pecan pieces thrown in the mix. (1) CHIP ZEL POP is as fun to say as it is to eat. Potato chips, pretzel sticks and caramel popcorn. All of that salty goodness drizzled with white, milk and dark chocolate  , ALL-NATURAL INGREDIENTS, certified Kosher, and Non-GMO, Funky Chunky is dedicated to creating delicious popcorn fused with ingredients such as cashews, chocolate, and pretzels that you won’t be able to get enough of  , AVAILABLE IN snack size bags and canisters. It is a perfect sweet and salty snack for kids and adults. Great for pantries, break rooms, kids' lunchboxes and after school snacks. Enjoy on the go for active and busy families  , FUNKY CHUNKY gourmet and confectionary popcorn gifts feature bite-sized chunks of caramel, chocolatey, nutty goodness. Handcrafted in small batches in the mid-west, these sweet, salty treats are perfect for snack lovers  ","Flavor: Variety Pack,Brand: Funky Chunky,Weight: 2 Ounces,Item Dimensions LxWxH: 9 x 5 x 5 inches,Allergen Information: Gluten, Peanuts, Tree Nuts, Soy"," Size: , 2 Ounce (Pack of 5) ","
                Grocery & Gourmet Food
            ,
                Snacks & Sweets
            ,
                Candy & Chocolate
            ,
                 Candy & Chocolate Gifts
             "
B08FQBLSKH,"Godiva Chocolatier Chocolate Gold Gift Box, Assorted, 19 pc.",https://m.media-amazon.com/images/I/41AKJsVheGL.jpg,4.7,"3,803 ratings"," GOURMET CHOCOLATE: 19-piece Godiva chocolate gift box features an exciting assortment of gourmet chocolates artfully paired with ganaches, nuts, and more.  , Product Note: Exposure to heat or sunlight may lead to melting/damage of product. Hence customers are expected to be available during the product delivery  , DELICIOUS FILLINGS: Ganaches, luscious caramels, smooth pralines, and other delectable fillings sit beneath assorted milk, white, and dark chocolate shells.  , TIMELESS TASTE: Add sweetness to any special occasion from birthday parties to anniversaries to corporate gift swaps. This chocolate assortment is always a perfect choice.  , GOLD GIFT BOX: Surprise someone special with this elegant chocolate box, finished with a gold ribbon, or satiate your sweet tooth as you sample each piece of chocolate.  , BELGIAN HERITAGE: Founded nearly 100 years ago, Godiva continues to adhere to a long-standing tradition of quality, Belgian craftsmanship using only the world’s finest ingredients.  ","Brand: Godiva Chocolatier,Item Form: Chocolate,Occasion: Congratulations,Flavor: Chocolate,Size: 19 Count (Pack of 1)",,"
                Grocery & Gourmet Food
            ,
                Snacks & Sweets
            ,
                Candy & Chocolate
            ,
                 Candy & Chocolate Gifts
             "
B0819361MY,"Gift Basket Village Home For The Holidays Care Package, Deluxe Gift Box with Meat and Cheese, Crackers and Cheese Spread, Delicious Sweet Cookies and More...",https://m.media-amazon.com/images/I/61R2RoUSpoL.jpg,4.1,39 ratings," ✔ BECAUSE FLAVOR MATTERS - When your reputation is on display, you want to send our favorite savory sausages and tasty cheeses along with crackers and some amazing sweets  , ✔ KICK OFF THE HOLIDAYS EARLY - Available almost year round, this is the perfect holiday food gift to start the season and put anyone in the holiday spirit  , ✔ FRIENDS, FAMILY, CLIENTS OR CIVIL SERVANTS - No matter who or why you send this seasonal gift, they will be thrilled to get it and even more excited to taste test it  , ✔ A CORPORATE FAVORITE, AVAILABLE IN BULK - Priced right for our corporate customers but personal enough for friends and family  , ✔ MADE IN THE USA - Proudly and carefully hand made at Gift Basket Village, Florida by our own team of professional gift basket designers and then carefully packaged for safe shipment the day your order is received  , Country: United States  ","Brand: Gift Basket Village,Cuisine: North American,Flavor: Meat and Cheese,Size: 14 Piece Set,Number of Pieces: 1",,"
                Grocery & Gourmet Food
            ,
                Food & Beverage Gifts
            ,
                 Snack Gifts
             "
B0813ZZKXM,"Snack Box Variety Pack Care Package + Greeting Card (60 Count) Halloween Trick or Treat Gift Basket, Bulk Individually Wrapped, Candies Chips Cookies, Crave Food Birthday Sweets, Adults Kids College",https://m.media-amazon.com/images/I/61Ri+HlHS2L.jpg,4.5,"4,427 ratings"," 🍭 A GIFT TO SPREAD THE JOY: Whether you’re looking for a gift, snack boxes for adults, care packages for college students, a snack variety pack for kids, or simply a crave box to treat yourself, our Snack Box Variety Pack will do the trick. Ours is a present to Spread the Joy among whole family.  , 🍭 SNACKS FROM YOUR FAVORITE BRANDS: All your favorite snack brands in a single mega snack bundle: Goldfish, Cheez-It, Air Heads, Nature Valley, Planters, Welch’s, Oreo’s and much more! Why would you have to choose one if you can have them all?  , 🍭 THE PERFECT GIFT: If you’ve ever looked for a gift that is not the typical present, you know how stressful the search can get. Well, not anymore. Our Gift Basket will delight everyone from the youngest ones to the not so young.  , 🍭 CONVENIENT PACKAGING: Our Snack Box Variety Packs include conveniently wrapped individual servings that are easy to grab when you’re on the go. They’re also great for sharing: if someone wants a bite, why not giving them their own individual serving of snacks? This is the perfect packaging to Spread the Joy!  , ⚠️ HONESTY IS OUR MAIN VALUE: Due to supply chain issues, it's possible that some of the snacks in this box might have to be replaced for other snacks of similar or more value.  ","Brand: Nut cravings,Flavor: Halloween Care Package,Size: 60 Count (Pack of 1)",,"
                Grocery & Gourmet Food
            ,
                Food & Beverage Gifts
            ,
                 Snack Gifts
             "
B00FQ534TI,California Delicious Ultimate Meat and Cheese Gift Crate,https://m.media-amazon.com/images/I/51YewkWNX0L.jpg,4.2,236 ratings," The Perfect Gift to Celebrate a New Baby  , Savoury Cheese, Crackers, and Summer Sausage  , Olive Oil, Balsamic Vinegar, California Nuts, and Sweet Dried Fruit  , Beautifully Packaged with every bow tied by hand  , Made with Love in California  ","Brand: California Delicious,Flavor: Sweet,Cheese,Weight: 4 Pounds,Size: 16 Piece Set",,"
                Grocery & Gourmet Food
            ,
                Food & Beverage Gifts
            ,
                 Snack Gifts
             "
B081294WT2,"Dried Fruit & Nuts Gift Basket Green Tower + Ribbon (12 Assortments) Holiday Christmas Gourmet Bouquet Arrangement Platter, Birthday Care Package, Healthy Food Kosher Snack Box for Adults Men Women",https://m.media-amazon.com/images/I/51Ws3r7N14L.jpg,4.4,678 ratings," 🥜 A SELECTION OF 12 OF OUR BEST NUTS & DRIED FRUITS: Our Green Black & Gold Snack Tower includes a handful of each of our 12 signature delicious nuts & dried fruits: Almonds, Walnuts, Cashews, Pistachios, Honey Glazed Pecans, Honey Glazed Peanuts, Brazil Nuts, Dried Cranberries, Dried Kiwis, Dried Papaya, Dried Pears, and Dried Peaches.  , 🎁 6 PRESENTS IN 1: Think about it, who wouldn’t want to receive a tower of presents? Our Snack Towers have six levels of boxes of the best crunchy and sweet mix of snacks there is.  , ⭐ TOP ‘NUTCH’ PACKAGING WITH HIGH-END RIBBON: High-end packaging featuring elegant black and green colors and a unique and sophisticated design, including a high-end black & green ribbon that will definitely impress your gift recipient.  , 🌎 GROWN AROUND THE WORLD, DELIVERED TO YOU: We grow our nuts & dried fruits around the world so that they capture the flavors of their origin lands, pack them fresh in NY to follow our strict quality standards, and then deliver them to you or directly to your gift recipient!  , ⚠️ ATTENTION: Please remember to Check the box labeled “This is a gift” in your cart or at checkout and write a personalized message. The last thing you want is your recipient to receive such an incredible gift and not know it was you who treated them, right?  ","Brand: Nut Cravings,Cuisine: Holiday Gifts for Wife,Flavor: Green Tower,Size: 12 Piece Set,Number of Pieces: 12",,"
                Grocery & Gourmet Food
            ,
                Food & Beverage Gifts
            ,
                 Fruit & Nut Gifts
             "
B0721LFDFK,"Cookies, Chips & Candies Ultimate Snacks Care Package Bulk Variety Pack Bundle Sampler (50 Count)",https://m.media-amazon.com/images/I/61eOdFY3F5L.jpg,4.5,"16,545 ratings"," Snack chest bulk sampler includes an assortment of 50 savory snacks  , A snack variety box for all occasions with a wide variety of chips, cookies and candies  , Perfect care package gift to send to friends and family at camp, or at school  , This 50 count care package includes a mix of sweet, salty, and savory, snacks. Includes the top chip, cookie, and candy brands  , All snacks are handpicked & shipped loose in a snack chest gift box. In certain cases based upon availability some snacks might be replaced  ","Brand: Snack Chest,Item Firmness Description: Cookies, Package,Package Weight: 1.81 Kilograms,Package Type: Box"," Size: , 50 Piece Set ","
                Grocery & Gourmet Food
            ,
                Food & Beverage Gifts
            ,
                 Assortments & Variety Gifts
             "
B07D19J4J1,Harry & David Ultimate Meat and Cheese Gift Box,https://m.media-amazon.com/images/I/51R9LG2iDiL.jpg,4.4,128 ratings," This gift box includes 2 hickory-smoked summer sausages (5 oz each), 2 Thuringer sausages (5 oz each) and dry salami (6 oz).  , Garlic Jack cheese (8 oz), Colby Jack cheese (8 oz), Pepper Jack cheese (8 oz) and Sicilian Jack cheese (8 oz)  , Three-seed crackers (4 oz), olive oil and sea salt water crackers (4 oz), sharp cheddar cheese crackers (6 oz), sesame sticks (12 oz), Pepper and Onion Relish (10 oz) and honey dill mustard (9 oz).  , Net Weight: 6 lb 7 oz  , Harry and David gift baskets make the perfect gift for Holiday's, birthdays or any occasion!  ",,,"
                Grocery & Gourmet Food
            ,
                Food & Beverage Gifts
            ,
                 Cheese & Charcuterie Gifts
             "
B075RHKKJL,"Broadway Basketeers Condolences Gourmet Gift Basket, Kosher Sympathy Food Gift Baskets for Delivery, Perfect Care Package Box or Assorted Snack Gifts for Bereavement, Loss, Funeral, or Shiva",https://m.media-amazon.com/images/I/51Dj47rBRSL.jpg,4.3,111 ratings," SYMPATHY GIFT BASKET: A thoughtful condolences gift basket for the loss of a loved one, friend, or acquaintance. Beautifully designed and assembled for bereavement, shiva, funeral, memorial, or as a tasteful grief gift for your recipients.  , BEST-SELLING ASSORTMENT: Filled with 4 lbs of our popular snacks, selected from our customer favorites. This sympathy gift basket includes gourmet cookies, popcorn, chocolates, candy, nuts and more. Each gift basket measures 12"" x 8"" x 14"".  , SEND YOUR LOVE: Our gourmet gift basket presentation is made to comfort any recipient, such as couples, neighbors, teachers, employees, clients, and groups. Send to mom or dad, grandma and grandpa, siblings, employee, client, corporate, and more.  , CERTIFIED KOSHER: We have strict quality standards. Each certified kosher gift basket is made with care and contains only premium ingredients. All Broadway Basketeers items are designed, assembled, and ribboned in our certified facility.  , IDEAL SYMPATHY GIFT: Each gift represents your heartfelt sympathy for anyone grieving or going through a difficult time. Each gift basket or gift box is curated by our designers and handcrafted by experts. Topped with a hand-tied ribbon or bow.  , INDIVIDUALLY WRAPPED: Whether you're mourning at home, delivering to a church, or sitting shiva, each sympathy gift basket contains premium-quality items wrapped for freshness. Crafted for groups, families, and gatherings with something for all ages.  , SHOP WITH CONFIDENCE: Broadway Basketeers guarantees both you and your recipient will have an outstanding experience and enjoy your gift basket. Our friendly team offers a 100% satisfaction guarantee, or we will refund or replace your gift.  , To maintain high-quality standards for every single basket, we transition assortments seasonally with fresh flavors of cookies, nuts, and other treats. Our winter and summer versions may include slight variations in snack food to adequately protect your gift during warm-weather shipping. Rest assured, we're committed to ensuring that each basket maintains equal value and arrives in perfect condition, wherever you're located.  ","Brand: Broadway Basketeers,Item Form: Rolls,Age Range (Description): 24_months_and_above,Package Information: Basket,Flavor: Assorted",,"
                Grocery & Gourmet Food
            ,
                Food & Beverage Gifts
            ,
                 Snack Gifts
             "
B08B5DGVV5,"Nuts and Beef Jerky Gift Basket for Men, 12 Items – 10 Beef Sticks and 2 Unique Nut Flavors – Small Batch Gourmet Nuts Gift Basket with Jerky is Great Gift for Dad, Men",https://m.media-amazon.com/images/I/61DRQ7-rdNS.jpg,4.4,503 ratings," 12 PIECE FOOD GIFT ASSORTMENT - Mild Smokey Beef Sticks (4), Spicy Smokie Beef Sticks (4), Black Pepper Smokie Beef Sticks (4), Whiskey Nut Mix (Almonds, Cashews, Peanuts flavored with whiskey flavor), 4 Oz, and Beer Nuts Mix (Cashews, Sesame Sticks, Wasabi Peas, Cajun Hot Sticks, Spicy Peanuts), 4oz; Each nut bag is resealable  , PERFECT GIFT FOR MEN – Flavorful, unique food gift basket with a snack variety; Whether a Birthday Gift or Gift for Dad, this jerky and nut gift box can be delivered directly to your special someone by Amazon with wrapping (extra charge) and message included; See image for instructions  , ASTONISHING FLAVORS – Nuts made in small batches with unique spice combinations for a savory, crunchy variety of flavor in the assorted nuts bags; Three varieties of premium smokie beef jerky with heat levels from mild to spicy for all tastes and desires  , GREAT VARIETY OF GOODNESS - Combination of various tasty food flavors to match your mood and fill everyone’s snack desires, from savory and salty to sweet and crunchy  , SATISFYING SNACK - This meat and nut snack box will satisfy your flavor and hunger cravings; A healthy snack food gift loaded with protein is the perfect gift for men  ","Brand: SUGAR PLUM,Flavor: Beef,Mild,Spicy,Size: 12 Piece Set,Number of Pieces: 12",,"
                Grocery & Gourmet Food
            ,
                Food & Beverage Gifts
            ,
                 Fruit & Nut Gifts
             "
